Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
a	368	548	430	308	1706	1381	2230	1902	3048	2421	3642	2549	S_1st_sg_eat_tortillas_02.wav
i	988	293	456	663	1987	2110	1832	1370	2695	2696	2772	2185	S_1st_sg_eat_tortillas_02.wav
aː	624	666	--undefined--	--undefined--	1386	1346	--undefined--	--undefined--	2520	2177	--undefined--	--undefined--	S_1st_sg_eat_tortillas_02.wav
i	283	313	1132	700	2069	1902	2005	1402	2793	2408	2949	2352	S_1st_sg_eat_tortillas_imp_01.wav
a	303	662	324	1918	2101	1471	2141	2472	2967	2255	2577	3430	S_1st_sg_eat_tortillas_imp_01.wav
i	302	307	711	429	1946	2147	1384	1284	2399	2578	2160	2000	S_1st_sg_eat_tortillas_imp_01.wav
aː 	597	709	--undefined--	--undefined--	1540	1331	--undefined--	--undefined--	2410	2144	--undefined--	--undefined--	S_1st_sg_eat_tortillas_imp_01.wav
i	326	312	368	1312	1953	2106	1634	2305	2528	2505	2698	3323	S_1st_sg_eat_tortillas_imp_02.wav
a	1410	559	311	1754	2475	1413	2047	2588	3461	2530	2947	3653	S_1st_sg_eat_tortillas_imp_02.wav
i	312	310	732	763	1944	2067	1402	1397	2417	2559	2208	2068	S_1st_sg_eat_tortillas_imp_02.wav
aː 	457	764	--undefined--	--undefined--	1469	1315	--undefined--	--undefined--	2542	2109	--undefined--	--undefined--	S_1st_sg_eat_tortillas_imp_02.wav
a	328	718	650	1896	1416	1437	1514	2421	2519	2240	2657	3611	S_1st_sg_eat_tortillas_pt_01.wav
i	518	286	1610	690	1494	2189	2525	1180	2516	2886	3544	2086	S_1st_sg_eat_tortillas_pt_01.wav
aː 	620	717	--undefined--	--undefined--	1440	1256	--undefined--	--undefined--	2337	2149	--undefined--	--undefined--	S_1st_sg_eat_tortillas_pt_01.wav
a	900	476	692	822	1730	1547	1479	1638	2908	2684	2523	3079	S_3rd_sg_inf_eats_salt_01.wav
ia	527	490	879	408	1549	1545	1387	1606	2593	2421	2904	2489	S_3rd_sg_inf_eats_salt_01.wav
ĩː	783	370	--undefined--	--undefined--	1609	1597	--undefined--	--undefined--	2895	2353	--undefined--	--undefined--	S_3rd_sg_inf_eats_salt_01.wav
a	1012	526	890	694	1619	1558	1893	1710	2626	2581	2249	2681	S_3rd_sg_inf_eats_salt_02.wav
ia	537	478	379	413	1584	1799	1894	1556	2500	2482	2401	2616	S_3rd_sg_inf_eats_salt_02.wav
ĩː 	601	262	--undefined--	--undefined--	1611	1806	--undefined--	--undefined--	2661	2609	--undefined--	--undefined--	S_3rd_sg_inf_eats_salt_02.wav
u	796	335	427	970	829	970	1750	1817	2343	2704	2869	2831	S_chop_1st_sg_Fut_yams_01.wav
a	362	516	327	349	1119	1555	2129	2186	2794	2519	2713	2948	S_chop_1st_sg_Fut_yams_01.wav
ĩ	993	366	271	447	1775	2378	1421	1961	2567	3137	2338	2795	S_chop_1st_sg_Fut_yams_01.wav
ã	877	546	--undefined--	--undefined--	2429	1556	--undefined--	--undefined--	3306	2252	--undefined--	--undefined--	S_chop_1st_sg_Fut_yams_01.wav
i	605	265	--undefined--	--undefined--	1360	1989	--undefined--	--undefined--	2284	2802	--undefined--	--undefined--	S_chop_1st_sg_Fut_yams_01.wav
_#	516	426	--undefined--	--undefined--	1563	1806	--undefined--	--undefined--	2539	2852	--undefined--	--undefined--	S_chop_1st_sg_Fut_yams_01.wav
ũ	466	400	303	395	1698	1234	529	779	2690	2917	2711	2832	S_i_will_give_money_01.wav
a	374	588	734	877	921	983	1295	1557	3000	2378	2106	2421	S_i_will_give_money_01.wav
a	373	801	408	383	1066	1310	1362	805	2951	2073	2512	2587	S_i_will_give_money_01.wav
ũ	376	423	431	--undefined--	2174	1219	1750	--undefined--	2851	2509	2867	--undefined--	S_i_will_give_money_01.wav
ũ	474	394	306	387	1711	1199	529	794	2702	2935	2705	2837	S_i_will_give_money_to_jack_01.wav
a	373	588	740	868	880	995	1292	1579	3014	2365	2089	2443	S_i_will_give_money_to_jack_01.wav
ˈa	377	797	401	189	1065	1321	1338	538	2942	2096	2474	2359	S_i_will_give_money_to_jack_01.wav
ũ	364	421	433	382	2058	1259	1794	968	2841	2491	2682	2319	S_i_will_give_money_to_jack_01.wav
ũː	833	391	564	--undefined--	1316	730	1902	--undefined--	2245	2293	2799	--undefined--	S_i_will_give_money_to_jack_01.wav
a	1499	535	--undefined--	--undefined--	2355	1494	--undefined--	--undefined--	3131	1812	--undefined--	--undefined--	S_i_will_give_money_to_jack_01.wav
ũ	1235	414	329	701	2156	1129	729	1473	2656	2809	2621	2247	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	342	754	414	661	653	1482	1582	1600	2448	2322	2517	2633	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	345	611	399	549	1144	1596	1685	1515	2608	2656	2367	2620	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	737	632	824	560	1473	1562	1248	956	2254	2037	2734	1708	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
